Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/notifications,75,50,2,2769.5675991466633,1.3351019999845448,14329.054300999927,970.9066666666666,2.6695962913334705,1.7797308608889804,2,4300,5500,5800,7500,8300,13000,14000,14000,14000,14000
GET,GET /api/tickets,250,201,2,3571.443058631997,1.2794659999144642,17806.154884999956,3310.328,8.898654304444902,7.154518060773701,2,6600,7000,7600,9300,12000,15000,16000,18000,18000,18000
POST,POST /api/auth/login,110,10,6800,7871.3190989909135,3912.059381000063,21498.70617299996,110.0,3.9154078939557566,0.35594617217779606,6800,7200,7600,8400,11000,21000,21000,21000,21000,21000,21000
POST,POST /api/tickets,80,60,3,2459.328160937506,1.4449359999844091,12110.653730999957,68.5125,2.8475693774223685,2.1356770330667763,3,4000,5000,5600,7000,7500,9500,12000,12000,12000,12000
,Aggregated,515,321,4300,4200.3294919572845,1.2794659999144642,21498.70617299996,1782.4873786407768,18.331227867156496,11.425872126907253,4300,6500,7000,7300,8800,12000,18000,21000,21000,21000,21000
