Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/notifications,229,4,1000,1055.6812527161583,96.3378849999117,2131.142551000039,2780.8995633187774,3.7742086371781625,0.06592504169743515,1000,1200,1200,1300,1600,1700,1800,1900,2100,2100,2100
GET,GET /api/tickets,596,22,3900,4723.556698852355,5.901561999962723,12216.862795999987,21677.456375838927,9.822831212917839,0.36258772933589334,3900,5600,6600,7700,10000,11000,11000,11000,12000,12000,12000
POST,POST /api/auth/login,100,0,510,640.0196313599997,75.38853200003359,2724.9124710000387,121.0,1.6481260424358788,0.0,510,690,840,910,1300,1700,2100,2700,2700,2700,2700
POST,POST /api/tickets,214,3,520,588.875875635515,9.000301000014588,1319.2757560000246,274.07943925233644,3.526989730812781,0.049443781273076366,520,620,720,810,990,1100,1200,1200,1300,1300,1300
,Aggregated,1139,29,1300,2850.7569797278343,5.901561999962723,12216.862795999987,11964.304653204565,18.77215562334466,0.4779565523064049,1300,2900,4200,5300,7800,10000,11000,11000,11000,12000,12000
